WARNING 2026-04-09 10:18:47,409 log 8053 123145583407104 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 10:20:46,251 log 8053 123145583407104 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 10:21:46,777 log 8053 123145583407104 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 10:22:05,729 log 8053 123145583407104 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 10:33:15,386 log 8053 123145566617600 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 10:33:53,083 log 8053 123145566617600 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 10:34:18,473 log 8053 123145566617600 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 10:34:38,390 log 8053 123145566617600 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 10:36:00,341 log 8053 123145633775616 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 11:32:14,584 log 8053 123145616986112 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 05:57:32,677 log 6338 123145340407808 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 05:57:36,853 log 6338 123145340407808 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 05:57:40,520 log 6338 123145340407808 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 05:57:44,612 log 6338 123145340407808 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 05:58:00,214 log 6338 123145340407808 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 06:04:00,483 log 6338 123145357197312 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 10:04:08,345 log 6338 123145373986816 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 10:08:47,183 log 6338 123145373986816 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 10:17:25,164 log 6338 123145373986816 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-10 10:18:46,595 log 6338 123145339871232 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
